idx,string,reaction_id
213,C2H5+CH3O2<=>C2H5O+CH3O,C[CH2]_m2.CO[O]_m2>>CC[O]_m2.C[O]_m2
214,CH3+CH3<=>H+C2H5,[CH3]_m2.[CH3]_m2>>[H]_m2.C[CH2]_m2
215,C2H5+O2<=>C2H5O2,C[CH2]_m2.[O][O]_m3>>CCO[O]_m2
216,C2H5+O2<=>C2H4O2H,C[CH2]_m2.[O][O]_m3>>[CH2]COO_m2
217,C2H5+O2<=>C2H4+HO2,C[CH2]_m2.[O][O]_m3>>C=C_m1.O[O]_m2
218,C2H5+O2<=>C2H4O1-2+OH,C[CH2]_m2.[O][O]_m3>>O1CC1_m1.[OH]_m2
219,C2H5+O2<=>CH3CHO+OH,C[CH2]_m2.[O][O]_m3>>CC=O_m1.[OH]_m2
220,C2H4O2H<=>C2H5O2,[CH2]COO_m2>>CCO[O]_m2
221,C2H5O2<=>CH3CHO+OH,CCO[O]_m2>>CC=O_m1.[OH]_m2
222,C2H5O2<=>C2H4+HO2,CCO[O]_m2>>C=C_m1.O[O]_m2
223,C2H5O2<=>C2H4O1-2+OH,CCO[O]_m2>>O1CC1_m1.[OH]_m2
224,C2H4O2H<=>C2H4O1-2+OH,[CH2]COO_m2>>O1CC1_m1.[OH]_m2
225,C2H4O2H<=>C2H4+HO2,[CH2]COO_m2>>C=C_m1.O[O]_m2
226,C2H4O2H<=>CH3CHO+OH,[CH2]COO_m2>>CC=O_m1.[OH]_m2
227,H2+C2H5O2<=>H+C2H5O2H,[H][H]_m1.CCO[O]_m2>>[H]_m2.CCOO_m1
228,C2H5O2+HO2<=>C2H5O2H+O2,CCO[O]_m2.O[O]_m2>>CCOO_m1.[O][O]_m3
229,C2H5O2+CH2O<=>C2H5O2H+HCO,CCO[O]_m2.C=O_m1>>CCOO_m1.[CH]=O_m2
230,C2H5O2+CH4<=>C2H5O2H+CH3,CCO[O]_m2.C_m1>>CCOO_m1.[CH3]_m2
231,C2H5O2+CH3OH<=>C2H5O2H+CH2OH,CCO[O]_m2.CO_m1>>CCOO_m1.[CH2]O_m2
232,C2H5O2H<=>C2H5O+OH,CCOO_m1>>CC[O]_m2.[OH]_m2
233,C2H4O1-2<=>CH3+HCO,O1CC1_m1>>[CH3]_m2.[CH]=O_m2
234,C2H4O1-2<=>CH3CHO,O1CC1_m1>>CC=O_m1
235,C2H4O1-2+H<=>C2H3O1-2+H2,O1CC1_m1.[H]_m2>>O1[CH]C1_m2.[H][H]_m1
236,C2H4O1-2+OH<=>C2H3O1-2+H2O,O1CC1_m1.[OH]_m2>>O1[CH]C1_m2.O_m1
237,C2H4O1-2+HO2<=>C2H3O1-2+H2O2,O1CC1_m1.O[O]_m2>>O1[CH]C1_m2.OO_m1
238,C2H4O1-2+CH3<=>C2H3O1-2+CH4,O1CC1_m1.[CH3]_m2>>O1[CH]C1_m2.C_m1
239,C2H4O1-2+CH3O<=>C2H3O1-2+CH3OH,O1CC1_m1.C[O]_m2>>O1[CH]C1_m2.CO_m1
240,C2H4O1-2+CH3O2<=>C2H3O1-2+CH3O2H,O1CC1_m1.CO[O]_m2>>O1[CH]C1_m2.COO_m1
241,C2H4O1-2+C2H5O2<=>C2H3O1-2+C2H5O2H,O1CC1_m1.CCO[O]_m2>>O1[CH]C1_m2.CCOO_m1
242,C2H3O1-2<=>CH3CO,O1[CH]C1_m2>>C[C]=O_m2
243,C2H3O1-2<=>CH2CHO,O1[CH]C1_m2>>[CH2]C=O_m2
244,C2H3+H(+M)<=>C2H4(+M),C=[CH]_m2.[H]_m2>>C=C_m1
245,C2H4(+M)<=>H2+H2CC(+M),C=C_m1>>[H][H]_m1.C=[C]_m3
246,C2H4+O2<=>C2H3+HO2,C=C_m1.[O][O]_m3>>C=[CH]_m2.O[O]_m2
247,C2H4+H<=>C2H3+H2,C=C_m1.[H]_m2>>C=[CH]_m2.[H][H]_m1
248,C2H4+OH<=>C2H3+H2O,C=C_m1.[OH]_m2>>C=[CH]_m2.O_m1
249,C2H4+CH3O<=>C2H3+CH3OH,C=C_m1.C[O]_m2>>C=[CH]_m2.CO_m1
250,C2H4+CH3O2<=>C2H3+CH3O2H,C=C_m1.CO[O]_m2>>C=[CH]_m2.COO_m1
251,C2H4+C2H5O2<=>C2H3+C2H5O2H,C=C_m1.CCO[O]_m2>>C=[CH]_m2.CCOO_m1
252,C2H4+CH3CO3<=>C2H3+CH3CO3H,C=C_m1.CC(=O)O[O]_m2>>C=[CH]_m2.CC(=O)OO_m1
253,C2H4+CH3<=>C2H3+CH4,C=C_m1.[CH3]_m2>>C=[CH]_m2.C_m1
254,C2H4+CH3<=>C2H3+CH4,C=C_m1.[CH3]_m2>>C=[CH]_m2.C_m1
255,C2H4+O<=>CH3+HCO,C=C_m1.[O]_m3>>[CH3]_m2.[CH]=O_m2
256,C2H4+O<=>CH2CHO+H,C=C_m1.[O]_m3>>[CH2]C=O_m2.[H]_m2
257,CH+CH4<=>C2H4+H,[CH]_m4.C_m1>>C=C_m1.[H]_m2
258,CH2(S)+CH3<=>C2H4+H,[CH2]_m1.[CH3]_m2>>C=C_m1.[H]_m2
